item_id,option,marg_norm,A,ext_i,beta_c,o_star_0,is_o_star_0
154213,0,0,-28.994730346264905,0.033339189532821556,2.4357490080874413,2,False
154213,1,0.29651686374740582,-20.100786975041295,0.033339189532821556,2.4357490080874413,2,False
154213,2,0.96666081046717844,0,0.033339189532821556,2.4357490080874413,2,True
154213,3,1,1,0.033339189532821556,2.4357490080874413,2,False
154213,4,0.52513202648980972,-13.243536815515423,0.033339189532821556,2.4357490080874413,2,False
154213,5,0.52513202648980939,-13.243536815515434,0.033339189532821556,2.4357490080874413,2,False
9065,0,0,-13.759878326195359,0.067751236012916993,5.1754282237961888,4,False
9065,1,0,-13.759878326195359,0.067751236012916993,5.1754282237961888,4,False
9065,2,0.49538829315350985,-6.4480073950279566,0.067751236012916993,5.1754282237961888,4,False
9065,3,1,1,0.067751236012916993,5.1754282237961888,4,False
9065,4,0.93224876398708301,0,0.067751236012916993,5.1754282237961888,4,True
9065,5,0.68791730074906676,-3.606302668654394,0.067751236012916993,5.1754282237961888,4,False
144769,0,0,-60.066667719413893,0.016375545569225269,6.8981958441436291,3,False
144769,1,0.34210432816525471,-39.175496385972956,0.016375545569225269,6.8981958441436291,3,False
144769,2,1,1,0.016375545569225269,6.8981958441436291,3,False
144769,3,0.98362445443077473,0,0.016375545569225269,6.8981958441436291,3,True
144769,4,0.53615970801370894,-27.325180985602756,0.016375545569225269,6.8981958441436291,3,False
144769,5,0.53615970801370894,-27.325180985602756,0.016375545569225269,6.8981958441436291,3,False
185450,0,0,-96.442064563702814,0.01026250833741571,7.2401490698102862,3,False
185450,1,0.35243439443972074,-62.100129546238037,0.01026250833741571,7.2401490698102862,3,False
185450,2,1,1,0.01026250833741571,7.2401490698102862,3,False
185450,3,0.98973749166258429,0,0.01026250833741571,7.2401490698102862,3,True
185450,4,0.35598379905573591,-61.754268232481579,0.01026250833741571,7.2401490698102862,3,False
185450,5,0.35598379905573591,-61.754268232481579,0.01026250833741571,7.2401490698102862,3,False
167952,0,0.2475496301088384,-265.48895964045056,0.0028235705182922954,7.5180719699710608,3,False
167952,1,0.54739968815969742,-159.29361013233583,0.0028235705182922954,7.5180719699710608,3,False
167952,2,1,1,0.0028235705182922954,7.5180719699710608,3,False
167952,3,0.9971764294817077,0,0.0028235705182922954,7.5180719699710608,3,True
167952,4,0.48094295823481864,-182.83002599103091,0.0028235705182922954,7.5180719699710608,3,False
167952,5,0,-353.16151058440829,0.0028235705182922954,7.5180719699710608,3,False
181223,0,0.12991050341408508,-13.399235167724596,0.060426091139631599,2.4883528904756531,3,False
181223,1,0.49044586154491243,-7.432684107890057,0.060426091139631599,2.4883528904756531,3,False
181223,2,1,1,0.060426091139631599,2.4883528904756531,3,False
181223,3,0.9395739088603684,0,0.060426091139631599,2.4883528904756531,3,True
181223,4,0.46575553638755995,-7.8412878201556495,0.060426091139631599,2.4883528904756531,3,False
181223,5,0,-15.549142616046714,0.060426091139631599,2.4883528904756531,3,False
192511,0,0.10093353542994285,-669.93078146832534,0.0013400286428988384,7.6154382571112365,2,False
192511,1,0.36643227045176852,-471.80163219321639,0.0013400286428988384,7.6154382571112365,2,False
